model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_1,0.3,Non-CV,R2_Score,1.0
LinearRegression(),dataset_1,0.3,Non-CV,MSE_Score,9.974742921633301e-27
LinearRegression(),dataset_1,0.3,Non-CV,MAE_Score,8.701040627715467e-14
LinearRegression(),dataset_1,0.3,Non-CV,RMSE_Score,9.987363476730634e-14
LinearRegression(),dataset_1,0.3,Non-CV,RMSLE_Score,-29.934870660331377
LinearRegression(),dataset_1,0.3,10 Fold-CV,Mean_Score,0.9999999975078324
LinearRegression(),dataset_1,0.3,10 Fold-CV,Min_Score,0.9999999875391626
LinearRegression(),dataset_1,0.3,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_1,0.3,10 Fold-CV,cv_scores,[1.         0.99999999 1.         1.         1.        ]
LinearRegression(),dataset_2,0.3,Non-CV,R2_Score,1.0
LinearRegression(),dataset_2,0.3,Non-CV,MSE_Score,8.757130030095339e-31
LinearRegression(),dataset_2,0.3,Non-CV,MAE_Score,7.351032668921199e-16
LinearRegression(),dataset_2,0.3,Non-CV,RMSE_Score,9.357953852256026e-16
LinearRegression(),dataset_2,0.3,Non-CV,RMSLE_Score,-34.6051348268411
LinearRegression(),dataset_2,0.3,10 Fold-CV,Mean_Score,1.0
LinearRegression(),dataset_2,0.3,10 Fold-CV,Min_Score,1.0
LinearRegression(),dataset_2,0.3,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_2,0.3,10 Fold-CV,cv_scores,[1. 1. 1. 1. 1.]
LinearRegression(),dataset_3,0.3,Non-CV,R2_Score,1.0
LinearRegression(),dataset_3,0.3,Non-CV,MSE_Score,2.4273866874862587e-29
LinearRegression(),dataset_3,0.3,Non-CV,MAE_Score,3.99658367390867e-15
LinearRegression(),dataset_3,0.3,Non-CV,RMSE_Score,4.926851618920808e-15
LinearRegression(),dataset_3,0.3,Non-CV,RMSLE_Score,-32.94407622771045
LinearRegression(),dataset_3,0.3,10 Fold-CV,Mean_Score,0.9998948310396691
LinearRegression(),dataset_3,0.3,10 Fold-CV,Min_Score,0.9994741551983456
LinearRegression(),dataset_3,0.3,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_3,0.3,10 Fold-CV,cv_scores,[1.         0.99947416 1.         1.         1.        ]
LinearRegression(),dataset_4,0.3,Non-CV,R2_Score,-3.540411257137452e+20
LinearRegression(),dataset_4,0.3,Non-CV,MSE_Score,3.52805821914043e+20
LinearRegression(),dataset_4,0.3,Non-CV,MAE_Score,691525913.3753967
LinearRegression(),dataset_4,0.3,Non-CV,RMSE_Score,18783125988.877438
LinearRegression(),dataset_4,0.3,Non-CV,RMSLE_Score,23.656224749956618
LinearRegression(),dataset_4,0.3,10 Fold-CV,Mean_Score,-1.0082291311465464e+20
LinearRegression(),dataset_4,0.3,10 Fold-CV,Min_Score,-3.313074309544858e+20
LinearRegression(),dataset_4,0.3,10 Fold-CV,Max_Score,-1.0000014920061791e+18
